raceId,driverId,stop,lap,time,duration,milliseconds,constructorId,grid,position,fastestLapTime,fastestLapSpeed,engineType
1051,852,1,9,17:17:42,25.659,25659,,,,,,
1051,8,1,10,17:19:14,26.174,26174,,,,,,
1051,842,1,13,17:23:37,25.63,25630,,,,,,
1051,841,1,15,17:26:54,25.987,25987,,,,,,
1051,830,1,17,17:29:03,25.3,25300,,,,,,
1051,847,1,17,17:30:00,26.121,26121,,,,,,
1051,1,1,18,17:30:21,25.235,25235,,,,,,
1051,849,1,18,17:31:31,25.811,25811,,,,,,
1051,815,1,19,17:32:28,25.419,25419,,,,,,
1051,854,1,22,17:37:38,25.881,25881,,,,,,
1051,4,1,23,17:38:20,25.991,25991,,,,,,
1051,840,1,23,17:38:40,26.157,26157,,,,,,
1051,839,1,24,17:40:07,25.517,25517,,,,,,
1051,846,1,25,17:41:32,25.319,25319,,,,,,
1051,817,1,26,17:43:19,25.562,25562,,,,,,
1051,20,1,26,17:43:20,25.726,25726,,,,,,
1051,832,1,27,17:44:36,25.639,25639,,,,,,
1051,844,1,27,17:44:46,25.799,25799,,,,,,
1051,8,2,30,17:49:40,25.633,25633,,,,,,
1051,853,1,31,17:51:36,26.515,26515,,,,,,
1051,841,2,32,17:52:43,25.347,25347,,,,,,
1051,822,1,33,17:53:44,36.341,36341,,,,,,
1051,852,2,34,17:55:29,26.674,26674,,,,,,
1051,842,2,35,17:56:42,26.109,26109,,,,,,
1051,830,2,41,18:04:20,25.175,25175,,,,,,
1051,815,2,41,18:05:15,25.42,25420,,,,,,
1051,1,2,42,18:05:37,25.381,25381,,,,,,
1051,846,2,49,18:17:08,26.552,26552,,,,,,
1051,847,2,49,18:18:36,35.006,35006,,,,,,
1051,830,3,55,18:24:59,25.465,25465,,,,,,
1052,815,1,2,18:11:56,23.993,23993,,,,,,
1052,842,1,4,18:16:14,38.338,38338,,,,,,
1052,4,1,11,18:27:32,24.373,24373,,,,,,
1052,846,1,12,18:29:05,24.899,24899,,,,,,
1052,844,1,12,18:29:06,24.925,24925,,,,,,
1052,840,1,12,18:29:09,24.884,24884,,,,,,
